Ticker,Date Bought,Date Sold,Quantity,Buy Price,Sell Price,Profit
JPM,2026-04-20 08:53,2026-04-20 12:59:35,30.0,313.91,315.2950134277344,41.5504028320305
TOVX,2026-04-20 13:00,2026-04-20 14:17:18,20000.0,0.47,0.451200008392334,-375.9998321533198
SOFI,2026-04-20 09:06,2026-04-20 14:22:08,10.0,19.53,19.56999969482422,0.3999969482421761
TOVX,2026-04-20 09:22,2026-04-20 14:22:11,20.0,0.41,0.4449999928474426,0.699999856948853
WFC,2026-04-20 08:58,2026-04-20 14:22:23,200.0,82.12,82.01499938964844,-21.00012207031341
