Ticker,Date Bought,Quantity,Price Bought,Current Value,Earnings,Change %
LHX,2026-04-20 08:52,25,353.1,8506.25,-321.25,-3.64
TSLA,2026-04-20 08:55,50,395.98,19324.0,-475.0,-2.4
MSFT,2026-04-20 08:56,40,420.2,16970.0,162.0,0.96
LMT,2026-04-20 09:02,48,594.18,27451.68,-1068.96,-3.75
USAR,2026-04-20 14:26,500,22.35,11435.0,260.0,2.33
BAC,2026-04-20 14:29,269,53.91,14383.43,-118.36,-0.82
