Ticker,Date Bought,Quantity,Price Bought,Sell Price,Profit,Sell Date,Date,Type,Price,Total,Balance After
AAPL,,10.0,,,,,2025-10-29 14:11:57,BUY,268.65,2686.5,97313.5
AAPL,,10.0,,,,,2025-10-29 14:12:07,SELL,268.7300109863281,2687.3001098632812,100000.80010986328
SYSTEM,,0.0,,,,,2025-10-29 14:12:38,RESET,0.0,0.0,100000.0
AAPL,,10.0,,,,,2025-10-29 14:42:34,BUY,268.81,2688.1,97311.9
AAPL,,10.0,,,,,2025-10-29 14:42:49,SELL,268.70001220703125,2687.0001220703125,99998.9001220703
SYSTEM,,0.0,,,,,2026-04-18 22:20:01,RESET,0.0,0.0,100000.0
LHX,,25.0,,,,,2026-04-20 08:52:31,BUY,353.1,8827.5,91172.5
JPM,,30.0,,,,,2026-04-20 08:53:56,BUY,313.91,9417.3,81755.2
TSLA,,50.0,,,,,2026-04-20 08:55:08,BUY,395.98,19799.0,61956.2
MSFT,,40.0,,,,,2026-04-20 08:56:12,BUY,420.2,16808.0,45148.2
WFC,,200.0,,,,,2026-04-20 08:58:15,BUY,82.12,16424.0,28724.199999999997
LMT,,48.0,,,,,2026-04-20 09:02:03,BUY,594.18,28520.64,203.55999999999767
SOFI,,10.0,,,,,2026-04-20 09:06:46,BUY,19.53,195.3,8.25999999999766
TOVX,,20.0,,,,,2026-04-20 09:22:43,BUY,0.41,8.2,0.059999999997661
JPM,,30.0,,,,,2026-04-20 12:59:35,SELL,315.2950134277344,9458.850402832031,9458.910402832027
TOVX,,20000.0,,,,,2026-04-20 13:00:43,BUY,0.47,9400.0,58.91040283202892
TOVX,,20000.0,,,,,2026-04-20 14:17:18,SELL,0.451200008392334,9024.00016784668,9082.910570678709
SOFI,,10.0,,,,,2026-04-20 14:22:08,SELL,19.56999969482422,195.6999969482422,9278.61056762695
TOVX,,20.0,,,,,2026-04-20 14:22:11,SELL,0.4449999928474426,8.899999856948853,9287.5105674839
WFC,,200.0,,,,,2026-04-20 14:22:23,SELL,82.01499938964844,16402.999877929688,25690.510445413587
USAR,,500.0,,,,,2026-04-20 14:26:10,BUY,22.35,11175.0,14515.510445413587
BAC,,269.0,,,,,2026-04-20 14:29:43,BUY,53.91,14501.79,13.720445413586276
